སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ཡ་སྨན་སྣ་འཐེན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཡ་མའི་ནད་དང་སྣ་ཁུངས་འགག་པར་ཕན།
ཡ་སྲིན་བཅུ་པ། (རྡོ་རྗེ་རབ་འཇོམས།)	བསིལ་འབྲིང་། བཟི་འབྲིང་། །	ཡ་སྲིན་མགོ་དང་སོ་ཡི་ནད་ལ་ཕན། །
ཡན་ལག་བདུན་ལྡན་གྱི་སྦྱོར་བ།	བསིལ་བ། བཟི་མེད།	རྩོར་རྒྱུ་ཡ་མ་ནག་པོ་མེ་ལྟར་འབར། །ལྡང་རྐྱེན་ཡུན་རིང་ཤིན་ཏུ་གསོ་དཀའ་ཞིང་། །ལུས་ཀུན་ཁྱབ་རྒྱུག་སྣ་ཚོགས་ནད་ཚུལ་ལ། །དབུགས་འབྱིན་གཉེན་པོ་མཆོག་འདི་ཨེ་མ་མཚར། །
ཡ་མ་དྲུངས་འབྱིན།	བསིལ་བ། བཟི་ཅུང་ཡོད།	མགོ་སྲིན་སྣ་སྲིན་ཡ་མ་ནག་པོ་དང་། །དོན་གླང་ཚད་རིམས་གཉན་ཚད་མ་ལུས་སེལ། །<157>
ཡང་ཏིག་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	དོན་སྣོད་དུ་མཁྲིས་པ་ཞུགས་པའི་ནད་ཐམས་ཅད་སེལ་བར་བྱེད། །
ཡར་འདྲེན་བཅུ་གསུམ།	བསིལ་བ། བཟི་མེད།	ཡར་འདྲེན་བཅུ་གསུམ་ཚད་ལྡན་སྦྱོར་བ་འདི། །འཕུལ་བྱེད་བ་ཡི་འོ་མས་ཕུལ་ལ་བཏང་། །གློ་བའི་ནད་ལ་སྨན་ཐུན་ཆུང་པས་ན། །མི་འདྲོངས་ཐུན་ཆེར་བཏང་བ་མན་ངག་ཡིན། །
ཡུང་བ་བཞི་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གཅིན་ནད་སེལ་ཞིང་ཆུ་ཁ་ས་བར་ཕན།
ཡུང་བ་བཅུ་གསུམ། 	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྒྱུ་རྒན་ནད་ཀྱིས་འཁྲུ་བ་གཅོད།
ཡུ་གུ་ཤིང་ཁཎྜ།	བསིལ་བ། བཟི་མེད།	ཆུ་སེར་དང་པགས་ནད་ཀྱིས་འབྲུམ་ཐོར་ཤར་བ་དང་། རྨ་དང་ཤུ་བའི་རིགས་ལ་ཕན།<158>
ཡུངས་དཀར་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རླུང་འབམ་དཀར་པོ་བད་འབམ་ཁྲ་བོ་དང་། །མཁྲིས་པ་ནག་པོ་ཆུ་སེར་ནག་པོ་ཡི། །འབམ་རིགས་ཀུན་ལ་སྨན་མཆོག་འདི་ཉིད་བསྔགས། །
གཡའ་ཀྱི་བདུན་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཁྲིས་ནད་ཞེ་བདུན་འདི་ཡིས་འཇོམས། །ཁྱད་པར་ཀྵ་ཡ་ནག་པོ་སེལ།
གཡའ་ཀྱི་ཉེར་ལྔ།	བསིལ་ཆེ། བཟི་མེད།	གཡའ་ཀྱི་ཉེར་ལྔ་མཁྲིས་པ་མ་ལུས་པ། །བཅོས་སྡུག་སྐད་ཅིག་འཇོམས་པ་གདོན་མི་ཟ། །
གཡུ་དྲིལ་བཅུ་གསུམ། (རུ་རྟ་བཅུ་གསུམ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གཡུ་དྲིལ་བཅུ་གསུམ་འདི་ཡིས་སྨུག་པོ་དང་། །ཁྲག་མཁྲིས་བད་ཀན་ཕོ་བའི་ནད་ལ་བསྔགས། །གྲང་རླུང་ལ་ཡང་མི་གནོད་སྤྱི་སྨན་ཡིན། །
གཡུ་དྲིལ་བཅོ་བརྒྱད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྨུག་པོ་བྱེར་འཐབ་དུགས་ཐབས་མོ་ནད་སྲིན། །མཆིན་ཁྲག་ཚ་གྲང་འཐབ་ལ་བདུད་རྩི་འདྲ། །<159>
གཡུ་ཁྱུང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	གཡུ་ཁྱུང་ཕོ་ལོག་ཁྲག་མཁྲིས་བད་ཀན་ནད། །སྨུག་པོའི་གླང་ཐབས་གཉན་གཟེར་གཅོག་པར་བྱེད། །
གཡུ་ཤིང་བཞི་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རུས་ཆག་སྦྱོར་ཞིང་རུས་ཚད་སེལ། །རྡོ་མ་ཞུ་ན་ཟེ་ཚྭ་བསྣན།
གཡུ་ཤིང་བརྒྱུད་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མགོ་ཆག་གསོ་ཞིང་ཡན་ལག་གི། །རུས་པ་ཆག་པ་སྦྱོར་བར་བྱེད། །
གཡུ་ཐོག་ཐང་དམར།	བསིལ་བ། བཟི་མེད།	ངན་ཁྲག་རྒྱས་པ། སྟོད་འཁྲུགས་པ། སྐད་འགགས་པ། ཁྲག་གིས་མགོ་ན་བ་སོགས་ལ་ཕན།
གཡུ་རྙིང་ཅུར་ནིས།	བསིལ་བ། བཟི་མེད།	མཆིན་མཁྲིས་གཉན་ཚད་དང་མཆིན་ཁྲག་རྒྱས་པ་ཡ་སྐྱེསོགས་མཆིན་ནད་ཚ་བའི་རིགས་ལ་བསྔགས།<160>
གཡུ་རྙིང་བདུན་པའི་སྦྱོར་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མིག་དམར་སྟོད་བརྒྱངས་མཆིན་འགྲམས་མཆིན་སྟེང་གཟེར། །སྨུག་པོ་དུག་གི་ནད་ལ་མཆོག་ཏུ་ཕན། །
གཡུ་རྙིང་བཅུ་དྲུག	བསིལ་བ། བཟི་མེད།	མིག་དམར་སྟོད་བརྒྱངས་མཆིན་མཁྲིས་ནད། །མཆིན་ནད་གཟེར་སོགས་སྨུག་པོའི་རིགས། །དུག་གི་རིགས་ལ་མཆོག་ཏུ་ཕན། །མཁྲིས་ཚད་ཁྲག་རྒྱས་མཆིན་ནད་ཚ་གྲང་འཇོམས། །
གཡུ་རྙིང་ཉེར་ལྔ།	ཅུང་བསིལ། བཟི་མེད།	གཡུ་རྙིང་ཉེར་ལྔ་དཔོན་ཚང་ཛཱ་ནའི་ལུགས། སྦྱར་ཐབས་ཚད་སྦྱར་ཕན་ཡོན་མཆིན་ནད་རིགས། །ཀུན་འཇོམས་བདུད་རྩི་དངོསཾ་མཚུངས་ངོ་མཚར་ཕུལ། །
གཡེར་དྲུག་ཆུ་འདྲེན།	ཅུང་དྲོ་བ། བཟི་མེད།	གར་ཆང་ཕུལ་བས་རྡེའུ་བཤིག་ཆུ་འབྱེད་དོ། །
ར་མཉེ་ལྔ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བསྡུས་གྲངས་གཏོང་བས་ཆུ་འགག་སེལ་བར་བྱེད།
རི་མིག་ལྔ་བ།	དྲོ་བ། བཟི་མེད།	མཁལ་མ་འོར་ལྷུང་ས་བོན་ལུག་ཅིང་ཟུག །ཆུ་ཁ་སྲི་དང་སྙི་བ་ལ་སོགས་པ། །ཀུན་གྱི་གཉེན་པོ་ཟབ་ཁྱད་བླ་ན་མེད། །
རིན་ཆེན་གྲང་སྦྱོར་རིལ་ནག་ཆེན་མོ།	བསིལ་བ། བཟི་མེད།	རིན་ཆེན་གྲང་སྦྱོར་རིལ་ནག་ཆེན་མོ་(རིན་ཆེན་རིལ་བུ)འདིས། །ཁྲག་མཁྲིས་བད་རླུང་ལ་སོགས་ནད་རིགས་སྤྱི། །མགོ་དང་བྱང་ཁོག་ཡན་ལག་རྨ་རྣམས་དང༌། །དམུ་འོར་མཛེ་འབྲས་གག་ལྷོག་གཉན་ནད་སོགས། །རིན་པོ་ཆེ་ཡིས་མི་སེལ་འགའ་ཡང་མེད། །ནད་གཞི་མེད་པའི་མི་ལ་བཅུད་ལེན་འགྱུར། །ཞེས་པས་ཉེས་གསུམ་སྤྱི་དང་ཁྱད་པར་དུ། །འདུས་ནད་སྨུག་པོ་གཅོང་ནད་དམུ་ཆུ་སོགས། །ཡུན་རིང་བཅོས་ཀྱང་ཕན་སྐྱེད་མ་བྱུང་བའི། །བཅོས་མང་རྡུགས་པའི་ནད་རིགས་ཐམས་ཅད་དང་། །གྱུར་དུག་བཙན་དུག་ཁྱི་དུག་དབྱིག་དུག་དང་། །སྦྱར་དུག་རེག་དུག་ལ་སོགས་དུག་རིགས་ཀུན། །ཚད་པ་རྙིང་པ་རིམས་ནད་རྒྱུ་གཟེར་དང༌། །བྱང་ཁོག་ནང་དུ་རྣག་ཁྲག་ཡོད་པ་ལ། །རང་རང་གཉེན་པོ་སྨན་རིགས་གང་འཕྲོད་དང་། །ལྟག་སྤྲོད་བཏང་བས་མཆོག་ཏུ་བསྔགས་པ་གསུངས། །ནད་མེད་ལ་ཡང་བཅུད་ལེན་མཆོག་ཡིན་ཏེ། །རྒས་ཀ་སྲ་ཞིང་ལུས་སྟོབས་རྒྱས་པ་དང་། །ལུས་ཁམས་བདེ་ལ་གདོང་མདངས་རྒྱས་པར་བྱེད། །འགོས་ནད་ཉུང་སོགས་ཕན་ཡོན་མཐའ་ཡས་ཤིང་། །ཁྱད་པར་དངུལ་ཆུ་བཙོ་བཀྲུ་ཆེན་མོ་སོགས། །རིན་ཆེན་རིགས་ཀྱི་ནུས་པ་བརྗོད་མི་ལངས། །སྔོན་དུ་སྡུད་སྨན་ཐང་ཆེན་ཉེར་ལྔ་དེ། །བསྡུས་རྟགས་མ་བྱུང་བར་དུ་གཏོང་རྒྱུ་རབ། །འོན་ཏེ་སང་ཉིན་གཏོང་རྒྱུའི་དོ་ནུབ་ནས། །སྔ་ཙམ་ལྟོ་ཆས་ཟ་ཐུང་ཐག་བཅད་ལ། །རྩ་ཁ་འབྱེད་བྱེད་གཡེར་མའི་ཐང་བཏང་ནས། །ནད་མེད་བཅུད་ལེན་ཡིན་ན་གར་ཆང་དང་། །ནད་ཅན་སྨུག་པོ་ཚད་རྙིང་ལ་སོགས་ནི། །ཚྭ་བུལ་མེད་པའི་ཇ་བཟང་ཁུ་བ་དང་། །ཆུ་སེར་གྲུམ་བུ་སྐྱ་རྦབ་གྲང་ཤས་ཅན། །ཆང་ངམ་ཡང་ན་སེ་འབྲུའི་ཁུ་བ་དང་། །སྨན་འདྲེད་བྱེད་དང་སྤྱི་ལ་ཆུ་འཁོལ་མ། །མཆིན་པའི་ནད་ལ་གུར་གུམ་ཁུ་བ་སོགས། །གང་རུང་ནད་གཞིར་བསྟུནཔའི་སྨན་རྟ་ལ། དོ་ནུབ་རིལ་བུ་ནུབ་ཙམ་སྦངས་བཞག་སྟེ། །ཕྱི་ཉིན་ནམ་སྨད་ཆུ་ཚོད་ལྔ་ཙམ་ལ། །སྦྱངས་པའི་རིལ་བུ་ཐུར་མས་ཞིབ་ཏུ་བསྣུར། ཆུ་སྐོལ་ཕྲན་ཙམ་བླུགས་ནས་བཏང་རྗེས་སུ། །ཉལ་གོས་དྲོ་པོ་གྱོན་ནས་རྡུལ་ཐོན་དགོས། །དེ་རྗེས་རྩ་ཁ་སྡོམ་བྱེད་མར་གསར་པ། །བཙགས་བཅད་སྒོང་ཤུན་གང་ལ་གུར་གུམ་དང་། །དོམ་མཁྲིས་ཕྲན་ཙམ་བཏབ་པ་འཐུང་དགོས་སོ། །སྨན་འདི་བཏང་རྗེས་དུག་གི་ངོ་བོ་དེ། །ག་དུས་བྱུང་ཡང་དེའི་རྟགས་བཤལ་སྐྱུགས་བྱེད། །ཡང་ན་གྲོད་པ་འཁྲོག་ཅིང་སྒྲོགས་སྐྱུག་ལ། །གླ་རྩིའི་དྲི་བྲོ་འབྱུང་བས་དེ་མ་ཐག །དུག་སྦྱོང་ཨ་རུའི་གསེར་བཤལ་གང་བདེར་གཏོང་། །དུག་དང་སྨུག་པོ་ཀུན་ལ་མཆོག་ཏུ་བསྔགས། །དེ་རྗེས་སླར་ཡང་སྨན་འདི་བཏང་ན་ལེགས། །ཟས་ནི་སྔོ་ངད་རུལ་སུངས་ཤ་རྗེན་དང༌། །ནང་ཆུའི་རིགས་དང་ཉ་ཤ་བྱ་སྒོང་དང་། །ཤིང་འབྲས་ཚུར་དང་ཇང་ཡུ་ཆང་སྐྱུར་སོགས། །རེབ་ལ་ཉིན་བདུན་ཐ་མར་གསུམ་འཛེམ་དགོས། །སྤྱོད་ལམ་བརླན་གཤེར་ཆུ་རྒལ་ལུས་འཛེམ་བྱ། །ཉར་ཚགས་བྱེད་དུས་རིལ་བུར་དཀར་ཆ་དང་། །རླུང་དང་བཞའ་བརླན་མ་ཕོག་གལ་ཆེ་ཡིན། །<162>
རིན་ཆེན་མང་སྦྱོར།	བསིལ་བ། བཟི་མེད།	རིན་ཆེན་མང་སྦྱོར་ཆེན་མོ་ཁྱད་འཕགས་འདི། །བསྟེན་ཐབས་རིན་ཆེན་སྤྱི་དང་འདྲ་བ་ལ། །ཕན་ཡོན་སྤྱི་བྱེར་གཉིས་ལས་དང་པོ་ནི། །སྦྱར་དུག་གྱུར་དུག་རང་བཞིན་དངོས་ཀྱི་དུག །མཐོང་བའི་དུག་དང་རེག་པ་ཉི་ཟེར་དུག །ཁ་རླངས་དུག་སོགས་དུག་རིགས་མཐའ་དག་འཇོམས། །ཁྲག་མཁྲིས་བད་སྨུག་གང་ཚད་ཚད་རྙིང་དང་། །རྨ་རིགས་དམུ་འོར་མཛེ་འབྲས་ལ་སོགས་པ། །རིན་པོ་ཆེ་ཡིས་མི་སེལ་འགའ་ཡང་མེད། །ནད་གཞི་མེད་པའི་མི་ལ་བཅུད་ལེན་འགྱུར། །གཉིས་པ་བྱེ་བྲག་ཐིག་ལེ་དར་ཡ་ཀན། །ཡུངས་འབྲུ་ཙམ་ཞིག་ཉམས་སུ་མྱོང་བས་ཀྱང་། །དབང་གསལ་ཚེ་དང་ལུས་ཟུངས་སྟོབས་འཕེལ་ཞིང་། །རྒས་ཀ་སྲ་ཞིང་རྩ་ཁམས་དྭངས་པ་དང་། །གཉན་ནད་འཇོམས་ཤིང་རིམས་ནད་སྲུང་བར་བྱེད། །གསེར་གྱི་ཡོན་ཏན་བྱེ་བ་དངུལ་གྱིས་ཁྲི། །མུ་ཟིས་དྲུག་འགྱུར་ཚེ་དང་བློ་གྲོས་འཕེལ། །དེ་སོགས་ལྕགས་ཁམས་བརྒྱད་གཉིས་བཅུ་དྲུག་དང་། །འཁོར་སྨན་སོ་སོའི་ཕན་ཡོན་བརྗོད་ལས་འདས། །མདོར་ན་གྲང་སྦྱོར་ཉིད་དང་ཁྱད་པར་མེད། །<164>
རིན་ཆེན་དབང་རིལ་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	རིན་ཆེན་དབང་རིལ་ཉེར་ལྔ་འདིས། །ཡོན་ཏན་དུག་ནད་གསར་རྙིང་དང་། །ཚད་པ་རྙིང་བ་རྣམས་ལ་ནི། །སྡུད་དང་གསོད་དང་འཇོམས་པར་བྱེད། །སྦྱར་དུག་གྱུར་དུག་ཁོང་ནད་རིགས། །ཁྱད་པར་སྨུག་པོ་དུག་ཐབས་ལ། །ཡུན་རིང་བསྲིང་སྟེ་བསྟེན་པས་ན། །ཤིན་ཏུ་ཕན་པ་མྱོང་བས་གྲུབ། །འདི་ལས་ཟབ་པ་གཞན་ན་མེད། །
རིན་ཆེན་བཙོ་བཀྲུ་ཟླ་ཤེལ།	ཅུང་བསིལ། བཟི་མེད།	རིན་ཆེན་བཙོ་བཀྲུ་ཟླ་ཤེལ་ཆེན་མོ་འདིས། །འདུས་ནད་སྨུག་པོ་ཡུན་རིང་ལོན་པའི་ནད། །བྲང་ཚ་ཕོ་མཆིན་རོ་རྒྱབ་ཚིགས་པ་ན། །སྨུག་པོ་རྒྱུས་དང་གབ་ཅིང་འཁྲུགས་པ་དང་། །ཁ་ཟས་ཟོས་རྗེས་མ་ཞུ་ན་ཟུག་ཆེ། །འཇུ་སྟོབས་ཆུང་ལ་སྒྲེག་སྐྱུགས་ཡང་ན་བཤལ། །ཕོ་མཆིན་ཚ་ལ་མཁྲིས་པ་རྒྱུ་བཤལ་དང་། །ཁྲག་རུལ་དུད་ཁུ་སྐྱུགས་སམ་བཤལ་བ་དང་། །གླང་ཐབས་སྲིན་ནད་ཆུ་སེར་ཁོང་སྐྲན་དང་། །གབ་ཚད་ཚད་རྙིང་འགྲམས་འཁྲུགས་འཐབ་པ་དང་། །སྐྱ་རྦབ་འོར་དང་ལྡན་འདུས་ནད་ལ་བསྔགས། །
རིན་ཆེན་རཏྨ་བསམ་འཕེལ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།<165>	རིན་ཆེན་རཏྣ་བསམ་འཕེལ་(མུ་ཏིག་བདུན་བཅུ)ཁྱད་འཕགས་འདི། །སྨན་རྟ་གར་ཆང་ཆུ་སྐོལ་ནད་བབས་བསྟུན། །འཐུང་སྣོད་དཀར་ཡོལ་ཁེབས་ལྡན་གཙང་མའི་ནང་། །རིལ་བུ་ནུབ་གཅིག་བསྙལ་ནས་ཐོ་རེངས་དུས། །ལྕགས་ཐུར་གྱིས་བསྣུར་བཏང་རྗེས་གཟུགས་ཁམས་ལ། །དྲོས་བཅོས་ཟབ་ནན་བྱས་པའི་ཕན་ཡོན་ནི། །སྦྱར་དུག་གྱུར་དུག་རྫས་དུག་རླངས་དུག་དང་། །རེག་པ་ཉི་ཟེར་སོགས་ཀྱི་དུག་རིགས་འཇོམས། །ཁྱད་པར་རྩ་དཀར་ཞེས་པའི་ཚུ་རྩ་དེ། །ལུས་ཀུན་ཁྱབ་པའི་ནད་ཀྱི་ཞ་རེངས་དང་། །གྲུམ་དང་སྐམ་པ་ལ་སོགས་རྩ་དཀར་ནད། །རྩ་ནག་ནད་ཀྱིས་ཡན་ལག་སྐྲངས་འབུར་གཟེར། །གྲིབ་སྐྱོན་མཛེ་རིགས་དཀར་ནག་ཁྲ་གསུམ་དང༌། །བརྒྱལ་གཟེར་སྨྱོ་འབོག་སྙིང་ནད་ཁྲག་རླུང་སོགས། །ལུས་ཀྱི་སྟོད་སྨད་གཟེར་འཁྱུག་འཕོ་ལེན་བྱེད། །ཡང་ན་རླུང་ཁྲག་འཐབ་དང་གློ་བུར་དུ། །དྲན་མེད་བརྒྱལ་ཞིང་སྲོག་འཛིན་རླུང་ཉམས་པས། །སྐྱུགས་སྟངས་བྱེད་ཅིང་ཁ་ལྷུག་བཤང་གཅིན་འཆོར། །མིག་སོགས་འབྱེད་འཛུམ་དཀའ་ལ་ལྕེ་གཡས་ཐུང་། །ཡང་ན་ལྕེ་གཡོན་ཐུང་ཞིང་ཁ་མཆུ་འཛགས། །ཁ་མིག་གཞོགས་ཕྱེད་ཡོ་ཞིང་བྱ་བ་ཉམས། །ཟ་ཟི་བྱེད་ཅིང་ཤེས་པ་འཁྲུལ་བ་སེལ། །གཞན་ཡང་བརྡབས་འགྲམས་སོགས་ཀྱིས་རྐྱེན་བྱས་ཏེ། །ནད་གཞན་རྩ་བྱེར་ཚབས་ཆེའི་རྩ་དཀར་ནད། །རེངས་འཁུམས་འདར་དང་ཞ་རེངས་བྱ་བ་ཉམས། །ཡན་ལག་དྲོད་ཤོར་རིམ་བཞིན་ཤ་རྣམས་སྐུམ། །གསོ་དཀའི་རྩ་དཀར་རྩ་ནག་བཅས་ལ་ཕན། །རིན་ཆེན་བསྟེན་སྐབས་སྔོ་ངད་རུལ་སྐྱུར་དང༌། །རྗེན་ཟས་ལ་སོགས་ལུས་འཁྱགས་ལུས་འཁྲུགས་རིགས། །ཉིན་ཞག་ལྔ་བདུན་ཙམ་རིང་སྤང་བར་བྱ། །རིལ་བུ་ཉར་ཚགས་བྱེད་དུས་དཀར་ཆ་དང༌། །རླུང་དང་བརླན་གཤེར་མ་ཕོག་གལ་ཆེའོ། །<166>
རིན་ཆེན་ཚ་སྦྱོར་ཆེན་མོ།	དྲོ་བ། བཟི་མེད།	རིན་ཆེན་ཚ་སྦྱོར་ཆེན་མོ་ཚད་ལྡན་སྦྱར། །རིལ་བུ་སྲན་མ་ཙམ་དྲིལ་ཐོ་རེངས་དུས། །ལྔ་བདུན་དགུ་བསྐྱེད་ཆང་གིས་འཕུལ་ལ་བཏང་། །དྲེག་དང་གྲུམ་བུ་འབྲས་དང་སུར་ཡ་མཛེ། །རྩ་ནད་ཚ་སྐྲན་དམུ་འོར་གྲང་རྣག་སྐེམ། །
རིན་ཆེན་བྱུ་དམར་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	རིན་ཆེན་བྱུ་དམར་ཉེར་ལྔ་དེའུ་དམར་ལུགས། །འདི་ཡི་ཕན་ཡོན་མགོ་ཡི་ནང་རྩའི་ནད། །རྩ་དཀར་ཀླད་གཟེར་མགོ་འཁོར་གཉའ་རེངས་དང་། །ལྟག་པ་དགྱེ་གུག་བརྒྱལ་འཐིབས་མ་ལུས་སེལཾ། །
རིན་ཆེན་ཟླ་འོད།	ཅུང་བསིལ། བཟི་མེད།	མཆིན་ནད་གསར་རྙིང་རིགས་དང་། དུག་སྨུག་མཆིན་ཁྲག་རྒྱས་པ་སོགས་མཆིན་པའི་ནད་རིགས་ཀུན་དང་། ཕོ་བ་སྨུག་པོའི་ནད་བཅས་ལ་ཕན།
རིམས་སྲུང་གནམ་ལྕགས་རྡོ་རྗེ།	བསིལ་བ། བཟི་འབྲིང་།<167>	གཉན་གྱི་སྡོང་ཟླ་དང་བཅས་པའི་རིམས་ཚད་མ་ལུས་སེལ་ཞིང་། གཉན་ནད་འབྲུམ་པ་སོགས་ལ་ཕན་པ་མ་ཟད། མགོ་ན་བ་དང་། ཚ་བ་རྒྱས་པ། དབུགས་འབྱིན་རྔུབ་དཀའ་བ། ཡན་ལག་གི་ཚིགས་གཞི་ན་བོ། དེ་མིན་གཉན་རིམས་ཀླད་གཟེར་དང་། ཁྲག་མཁྲིས་ཚ་བ་ལས་གྱུར་པའི་རྒྱུ་གཟེར་རིམས་ཀྱིས་ཁྲག་དམར་འཁྲུ་བ། སིབ་བི། ཆམ་རིམས། གྲང་མཁྲིས། མཆིན་ནད་ལྡེམ་བུ་སོགས་ལ་ཕན་པ་དང་ནད་འགོག་གི་ནུས་པའམ་ལྡན་ཡོད།
རིལ་དཀར་པད་སྡོང་། (སེ་མེ་རིལ་དཀར།)	ཅུང་བསིལ། བཟི་མེད།	རིལ་དཀར་པད་སྡོང་སྦྱོར་བ་འདི། །བད་མཁྲིས་མགོ་ནད་སྤྱི་ལ་ཕན། །
རུ་རྟ་བཞི་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བད་རླུང་ཕོ་མཆིན་སྐྲན་དང་མཆེར་ནད་འཇོམས། །
རུ་རྟ་དྲུག་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རུ་རྟ་དྲུག་པས་སྨུག་པོ་འཐབ་པའི་ནད། །གླང་ཐབས་སྒྲེག་སྐྱུག་ཕོ་ཁར་ཟུག་པ་སེལ། །
རུ་ཁྱུང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།<168>	རུ་ཁྱུང་གཉན་ཚད་ཕོ་གླང་འཇོམས། །
རུ་ཞི།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རུ་ཞིས་ཕོ་བ་རྒྱུ་མ་རེས་མོས་ན། །སྦོས་བརྒྱངས་ཆེ་ཞིང་སྐབས་རེ་འཁྲོག་པ་དང་། དགོང་དྲོའི་དུས་སུ་སྦོས་གཟེར་གཅུས་འདྲིལ་བརྒྱབ། །ཁ་ཟས་མི་འཇུ་འགག་དྲི་སྐྱུགས་ལྡང་ལོངས། །ལྷག་པར་གྲང་རླུང་གླང་ཐབས་ནད་ལ་ཕན། །
རུ་རྟ་ཨ་རུའི་ཐང༌།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྣ་བའི་རྣག་ཁྲག་ཟུག་གཟེར་འཇོམས་པར་བྱེད།
རུ་རྟ་གཉིས་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རུ་རྟ་ཨ་རུ་ར་ཡི་ཁུ་བ་ཡིས། །རྣ་བའི་རྣག་ཁྲག་ཟུག་གཟེར་འཇོམས་པར་བྱེད། །
རུ་རྟ་བཅུ་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྲིན་གླང་གཉན་གླང་མ་ལུས་སེལ་བར་བྱེད།
རུ་རྟ་བཅོ་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།<169>	རུ་རྟ་བཅོ་ལྔ་ཞེས་སུ་གྲགས་པ་འདིས། །སྨན་མར་མངལ་ནད་ཁུ་བའི་ནད་ཀུན་སེལ། །མངལ་ཆགས་དུས་སུ་ཟོས་ན་བུ་འཆི་གསོས།
རུ་རྟ་ཉི་ཤུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གླང་ཐབས་ཕོ་ལོག་ཚ་གྲང་གང་ཡིན་ཀྱང་། །གྲོལ་མའི་རིགས་དང་དུག་རིགས་ཐམས་ཅད་ལ། །ཐེངས་པ་ཙམ་གྱིས་ཞི་བ་མྱོང་བས་གྲུབ། །བད་ཀན་དུག་ཐབས་སྲིན་གླང་གཉན་གླང་འཇོམས། །
རུ་རྟའི་ཁམས།	བསིལ་བ། བཟི་མེད།	ཁྲག་རླུང་སྟོད་འཚངས་ཀྱིས་རོ་སྟོད་གཟེར་བ་དང་། བྲང་བསྡམ་པ། སྙིང་ག་གཡུགས་ཤིང་དབུགས་སྣ་ཐུང་བ། ངལ་དུབ་ཆེ་བ། མགོ་ཡུ་འཁོར་བ་སོགས་ལ་ཕན།<170>
ལ་ཕུག་སུམ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྨན་ལ་ལ་ཕུག་སྒོ་སྐྱ་དང༌། །ཀ་ར་གསུམ་མཉམ་ཞིབ་བཏགས་དེ། །འོ་མ་ལ་བཙོས་ལྟོ་སྟོང་བཏང་། །དེས་ནི་འཁྲུ་སྐྱུག་གཉིས་ཀ་ཚོད། །
ལ་ཕུག་བདུན་པ།	དྲོ་བ། བཟི་མེད།	ལ་ལ་ཕུག་དང་རྒྱམ་ཚ་ཚ་བ་གསུམ། །གོ་སྙོམ་ཤིང་ཀུན་རྣམས་ཀྱི་ཕྱེ་མ་ནི། །མར་དང་སྦྱར་ཟོས་ཕོ་བའི་དྲོད་བསྐྱེད་ཅིང་། །གྲང་རླུང་སེལ་ཞིང་དང་ག་འབྱེད་པར་བྱེད། །
ལི་ཤི་གསུམ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཆེར་ཚད་སྦོ་འཁྲོག་སེལ་བར་བྱེད། །
ལི་ཤི་དྲུག་པ།	བསིལ་བ། བཟི་མེད།	མི་ཤི་དྲུག་པ་ཆུ་སྐོལ་དྲོད་འཇམ་དབུལ། །གློ་ནད་གྲེ་བ་ཚ་སྐམ་སྐད་འགགས་སེལ། །<171>
